job_title,employment_type,experience_level,expertise_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,year,standardized_salary
ML Engineer,Full-Time,Senior,Expert,130000,United States Dollar,United States,130000,United States,Medium,2022,-0.2266841214407781
ML Engineer,Full-Time,Senior,Expert,84000,United States Dollar,United States,84000,United States,Medium,2022,-0.2610812400679993
Data Operations Engineer,Full-Time,Mid,Intermediate,100000,United States Dollar,United States,100000,United States,Medium,2022,-0.6986756832433623
Data Operations Engineer,Full-Time,Mid,Intermediate,60000,United States Dollar,United States,60000,United States,Medium,2022,-1.2272513213477485
Data Engineer,Full-Time,Mid,Intermediate,65000,British Pound Sterling,United Kingdom,80036,United Kingdom,Medium,2022,-0.4179425557741441
Data Engineer,Full-Time,Mid,Intermediate,55000,British Pound Sterling,United Kingdom,67723,United Kingdom,Medium,2022,-0.4623385271287837
Data Engineer,Full-Time,Senior,Expert,141300,United States Dollar,United States,141300,United States,Medium,2022,-0.0792012943382433
Data Engineer,Full-Time,Senior,Expert,102100,United States Dollar,United States,102100,United States,Medium,2022,-0.2532335020484308
Business Data Analyst,Full-Time,Mid,Intermediate,150000,United States Dollar,United States,150000,United States,Large,2022,-0.2280589486836264
Data Scientist,Full-Time,Mid,Intermediate,83000,British Pound Sterling,United Kingdom,102200,United Kingdom,Medium,2022,-0.13624768572058
Data Scientist,Full-Time,Entry,Junior,1800000,Indian Rupee,India,22892,India,Medium,2022,1.1692011965795288
Data Analyst,Full-Time,Senior,Expert,144000,United States Dollar,United States,144000,United States,Medium,2022,0.2921411780585586
Data Analyst,Full-Time,Senior,Expert,113000,United States Dollar,United States,113000,United States,Medium,2022,-0.0269358491193134
AI Scientist,Full-Time,Entry,Junior,30000,Euro,Spain,31520,Portugal,Medium,2022,-0.5562970609677239
Data Architect,Full-Time,Senior,Expert,195400,United States Dollar,United States,195400,United States,Large,2022,0.489265857065468
Data Architect,Full-Time,Senior,Expert,131300,United States Dollar,United States,131300,United States,Large,2022,-0.5066367328335314
Machine Learning Engineer,Full-Time,Senior,Expert,195400,United States Dollar,United States,195400,United States,Large,2022,0.0062349452993341
Machine Learning Engineer,Full-Time,Senior,Expert,131300,United States Dollar,United States,131300,United States,Large,2022,-0.2058834942810787
Data Engineer,Full-Time,Senior,Expert,80000,United States Dollar,United States,80000,United States,Medium,2022,-0.3513485987421845
NLP Engineer,Contract,Mid,Intermediate,60000,United States Dollar,United States,60000,India,Small,2022,-0.4010614335273203
Machine Learning Engineer,Full-Time,Senior,Expert,60000,Euro,Finland,63040,Finland,Small,2022,-0.4418280300390106
Business Data Analyst,Full-Time,Entry,Junior,50000,United States Dollar,American Samoa,50000,India,Large,2022,-0.4464789286846012
Analytics Engineer,Full-Time,Senior,Expert,190000,United States Dollar,United States,190000,United States,Medium,2022,0.6651932646134858
Analytics Engineer,Full-Time,Senior,Expert,140000,United States Dollar,United States,140000,United States,Medium,2022,-0.2230211057037437
Data Scientist,Full-Time,Senior,Expert,180000,United States Dollar,United States,180000,United States,Large,2022,-0.062497807104907
Data Scientist,Full-Time,Senior,Expert,165000,United States Dollar,United States,165000,United States,Large,2022,-0.0739024275093925
Applied Machine Learning Scientist,Full-Time,Senior,Expert,108000,United States Dollar,United States,108000,United States,Large,2022,-0.4103769338184881
Machine Learning Research Engineer,Full-Time,Entry,Junior,20000,United States Dollar,France,20000,France,Medium,2021,-1.465816565489954
Data Scientist,Full-Time,Senior,Expert,179400,United States Dollar,United States,179400,United States,Medium,2022,-0.0629539919210864
Data Scientist,Full-Time,Senior,Expert,154000,United States Dollar,United States,154000,United States,Medium,2022,-0.0822658158060152
Machine Learning Scientist,Full-Time,Senior,Expert,193900,United States Dollar,United States,193900,United States,Medium,2022,0.3510977323019993
Machine Learning Scientist,Full-Time,Senior,Expert,129300,United States Dollar,United States,129300,United States,Medium,2022,-0.7742573881160295
Data Science Manager,Full-Time,Executive,Director,222640,United States Dollar,United States,222640,United States,Medium,2022,-0.1448462657265143
